Date,Value,Unit
01/01/2024 00:00,71,kWh
01/01/2024 00:30,105.8,kWh
01/01/2024 01:00,97.4,kWh
01/01/2024 01:30,95.8,kWh
01/01/2024 02:00,94.2,kWh
01/01/2024 02:00,94.2,kWh
01/01/2024 02:30,92.4,kWh
01/01/2024 03:00,92.2,kWh
01/01/2024 03:30,92.2,kWh
01/01/2024 04:00,99.2,kWh
01/01/2024 04:30,115,kWh
01/01/2024 05:00,106.8,kWh
01/01/2024 05:30,108.8,kWh
01/01/2024 06:00,106,kWh
01/01/2024 06:30,120,kWh
01/01/2024 07:00,116.2,kWh
01/01/2024 07:30,115,kWh
01/01/2024 08:00,116.4,kWh
01/01/2024 08:30,114.6,kWh
01/01/2024 09:00,114.4,kWh
01/01/2024 09:30,114.2,kWh
01/01/2024 10:00,112.4,kWh
01/01/2024 10:30,106,kWh
01/01/2024 11:00,106.6,kWh
01/01/2024 11:30,105.8,kWh
01/01/2024 12:00,104.4,kWh
01/01/2024 12:30,102.8,kWh
01/01/2024 13:00,103.6,kWh
01/01/2024 13:30,103.8,kWh
01/01/2024 14:00,101.2,kWh
01/01/2024 14:30,99.8,kWh
01/01/2024 15:00,103,kWh
01/01/2024 15:30,105.4,kWh
01/01/2024 16:00,100.8,kWh
01/01/2024 16:30,82.2,kWh
01/01/2024 17:00,82.4,kWh
01/01/2024 17:30,69.4,kWh
01/01/2024 18:00,69,kWh
01/01/2024 18:30,69.4,kWh
01/01/2024 19:00,68.4,kWh
01/01/2024 19:30,67.8,kWh
01/01/2024 20:00,66.6,kWh
01/01/2024 20:30,66.6,kWh
01/01/2024 21:00,69.2,kWh
01/01/2024 21:30,67.8,kWh
01/01/2024 22:00,65.6,kWh
01/01/2024 22:30,65.8,kWh
01/01/2024 23:00,67.4,kWh
01/01/2024 23:30,66.6,kWh
02/01/2024 00:00,68.6,kWh
02/01/2024 00:30,92.4,kWh
02/01/2024 01:00,86.8,kWh
02/01/2024 01:30,85.2,kWh
02/01/2024 02:00,86.6,kWh
02/01/2024 02:30,84.2,kWh
02/01/2024 03:00,83.2,kWh
02/01/2024 03:30,84,kWh
02/01/2024 04:00,94.6,kWh
02/01/2024 04:30,103.6,kWh
02/01/2024 05:00,99.8,kWh
02/01/2024 05:30,98,kWh
02/01/2024 06:00,99.6,kWh
02/01/2024 06:30,119.4,kWh
02/01/2024 07:00,120.4,kWh
02/01/2024 07:30,125,kWh
02/01/2024 08:00,142.2,kWh
02/01/2024 08:30,139.2,kWh
02/01/2024 09:00,140.6,kWh
02/01/2024 09:30,139.4,kWh
02/01/2024 10:00,131,kWh
02/01/2024 10:30,128.4,kWh
02/01/2024 11:00,136.2,kWh
02/01/2024 11:30,135.4,kWh
02/01/2024 12:00,135.8,kWh
02/01/2024 12:30,135.8,kWh
02/01/2024 13:00,129.2,kWh
02/01/2024 13:30,135.4,kWh
02/01/2024 14:00,132.2,kWh
02/01/2024 14:30,130.8,kWh
02/01/2024 15:00,125.6,kWh
02/01/2024 15:30,131.2,kWh
02/01/2024 16:00,130.2,kWh
02/01/2024 16:30,119.2,kWh
02/01/2024 17:00,113.8,kWh
02/01/2024 17:30,90.8,kWh
02/01/2024 18:00,83.8,kWh
02/01/2024 18:30,78.2,kWh
02/01/2024 19:00,74.2,kWh
02/01/2024 19:30,73.4,kWh
02/01/2024 20:00,71.4,kWh
02/01/2024 20:30,66.6,kWh
02/01/2024 21:00,67.6,kWh
02/01/2024 21:30,66.8,kWh
02/01/2024 22:00,65.2,kWh
02/01/2024 22:30,65.8,kWh
02/01/2024 23:00,64.8,kWh
02/01/2024 23:30,64.4,kWh
03/01/2024 00:00,68.2,kWh
03/01/2024 00:00,68.2,kWh
03/01/2024 00:30,91.2,kWh
03/01/2024 01:00,87,kWh
03/01/2024 01:30,85.4,kWh
03/01/2024 02:00,84.598,kWh
03/01/2024 02:30,85.6,kWh
03/01/2024 03:00,85,kWh
03/01/2024 03:30,86.8,kWh
03/01/2024 04:00,93,kWh
03/01/2024 04:30,102.2,kWh
03/01/2024 05:00,100.2,kWh
03/01/2024 05:30,99,kWh
03/01/2024 06:00,102,kWh
03/01/2024 06:30,118.2,kWh
03/01/2024 07:00,120.6,kWh
03/01/2024 07:30,126.6,kWh
03/01/2024 08:00,138.6,kWh
03/01/2024 08:30,130.8,kWh
03/01/2024 09:00,132.2,kWh
03/01/2024 09:30,130.2,kWh
03/01/2024 10:00,136,kWh
03/01/2024 10:30,137.6,kWh
03/01/2024 11:00,136.8,kWh
03/01/2024 11:30,135.6,kWh
03/01/2024 12:00,135.8,kWh
03/01/2024 12:30,131.6,kWh
03/01/2024 13:00,132.2,kWh
03/01/2024 13:30,128.8,kWh
03/01/2024 14:00,133,kWh
03/01/2024 14:30,130.2,kWh
03/01/2024 15:00,127.8,kWh
03/01/2024 15:30,134,kWh
03/01/2024 16:00,132.8,kWh
03/01/2024 16:30,118.2,kWh
03/01/2024 17:00,99.8,kWh
03/01/2024 17:30,77.6,kWh
03/01/2024 18:00,79.2,kWh
03/01/2024 18:30,77.6,kWh
03/01/2024 19:00,73.2,kWh
03/01/2024 19:30,73.4,kWh
03/01/2024 20:00,71,kWh
03/01/2024 20:30,66.6,kWh
03/01/2024 21:00,67.6,kWh
03/01/2024 21:30,66.2,kWh
03/01/2024 22:00,65,kWh
03/01/2024 22:30,65.2,kWh
03/01/2024 23:00,64.2,kWh
03/01/2024 23:30,65,kWh
04/01/2024 00:00,68,kWh
04/01/2024 00:30,90,kWh
04/01/2024 01:00,86.6,kWh
04/01/2024 01:30,83.4,kWh
04/01/2024 02:00,84.4,kWh
04/01/2024 02:30,82.2,kWh
04/01/2024 03:00,87.4,kWh
04/01/2024 03:30,85,kWh
04/01/2024 04:00,96.2,kWh
04/01/2024 04:30,103,kWh
04/01/2024 05:00,100.6,kWh
04/01/2024 05:30,99.2,kWh
04/01/2024 06:00,100.4,kWh
04/01/2024 06:30,114.6,kWh
04/01/2024 07:00,112,kWh
04/01/2024 07:30,115.6,kWh
04/01/2024 08:00,137.2,kWh
04/01/2024 08:30,146.8,kWh
04/01/2024 09:00,150.8,kWh
04/01/2024 09:30,145,kWh
04/01/2024 10:00,144.8,kWh
04/01/2024 10:30,144.8,kWh
04/01/2024 11:00,142.6,kWh
04/01/2024 11:30,140.6,kWh
04/01/2024 12:00,136.8,kWh
04/01/2024 12:30,138.4,kWh
04/01/2024 13:00,140.2,kWh
04/01/2024 13:30,134.6,kWh
04/01/2024 14:00,137.8,kWh
04/01/2024 14:30,135.8,kWh
04/01/2024 15:00,138.8,kWh
04/01/2024 15:30,135.4,kWh
04/01/2024 16:00,128.4,kWh
04/01/2024 16:30,107.4,kWh
04/01/2024 17:00,106.2,kWh
04/01/2024 17:30,95.8,kWh
04/01/2024 18:00,84,kWh
04/01/2024 18:30,75.8,kWh
04/01/2024 19:00,80.2,kWh
04/01/2024 19:30,75.4,kWh
04/01/2024 20:00,69.4,kWh
04/01/2024 20:30,67.8,kWh
04/01/2024 21:00,66.6,kWh
04/01/2024 21:30,65.8,kWh
04/01/2024 22:00,64.4,kWh
04/01/2024 22:30,65.2,kWh
04/01/2024 23:00,65.2,kWh
04/01/2024 23:30,65.6,kWh
05/01/2024 00:00,66.8,kWh
05/01/2024 00:30,96.2,kWh
05/01/2024 01:00,91,kWh
05/01/2024 01:30,89.4,kWh
05/01/2024 02:00,89.2,kWh
05/01/2024 02:30,88.2,kWh
05/01/2024 03:00,89.4,kWh
05/01/2024 03:30,88.6,kWh
05/01/2024 04:00,100,kWh
05/01/2024 04:30,107.2,kWh
05/01/2024 05:00,101.8,kWh
05/01/2024 05:30,105.4,kWh
05/01/2024 06:00,103.4,kWh
05/01/2024 06:30,127.2,kWh
05/01/2024 07:00,126,kWh
05/01/2024 07:30,135.4,kWh
05/01/2024 08:00,139.8,kWh
05/01/2024 08:30,146.8,kWh
05/01/2024 09:00,146.4,kWh
05/01/2024 09:30,145.2,kWh
05/01/2024 10:00,128.4,kWh
05/01/2024 10:30,132.2,kWh
05/01/2024 11:00,143.2,kWh
05/01/2024 11:30,140.8,kWh
05/01/2024 12:00,138.4,kWh
05/01/2024 12:30,127.6,kWh
05/01/2024 13:00,124.2,kWh
05/01/2024 13:30,126.2,kWh
05/01/2024 14:00,127.2,kWh
05/01/2024 14:30,131.6,kWh
05/01/2024 15:00,121.8,kWh
05/01/2024 15:30,114.4,kWh
05/01/2024 16:00,110.2,kWh
05/01/2024 16:30,84.2,kWh
05/01/2024 17:00,86.6,kWh
05/01/2024 17:30,82.8,kWh
05/01/2024 18:00,80.8,kWh
05/01/2024 18:30,76,kWh
05/01/2024 19:00,71,kWh
05/01/2024 19:30,70.2,kWh
05/01/2024 20:00,69.6,kWh
05/01/2024 20:30,68.4,kWh
05/01/2024 21:00,70.6,kWh
05/01/2024 21:30,67.4,kWh
05/01/2024 22:00,66.8,kWh
05/01/2024 22:30,67.4,kWh
05/01/2024 23:00,67.6,kWh
05/01/2024 23:30,67.8,kWh
06/01/2024 00:00,68.8,kWh
06/01/2024 00:30,94.4,kWh
06/01/2024 01:00,89.8,kWh
06/01/2024 01:30,89.8,kWh
06/01/2024 02:00,88.8,kWh
06/01/2024 02:30,86,kWh
06/01/2024 03:00,85.2,kWh
06/01/2024 03:30,87.4,kWh
06/01/2024 04:00,87.6,kWh
06/01/2024 04:30,88.8,kWh
06/01/2024 05:00,88,kWh
06/01/2024 05:30,89.4,kWh
06/01/2024 06:00,85.8,kWh
06/01/2024 06:30,75.6,kWh
06/01/2024 07:00,76,kWh
06/01/2024 07:30,76.8,kWh
06/01/2024 08:00,76.2,kWh
06/01/2024 08:30,75,kWh
06/01/2024 09:00,76.4,kWh
06/01/2024 09:30,75.8,kWh
06/01/2024 10:00,75.2,kWh
06/01/2024 10:30,75.4,kWh
06/01/2024 11:00,74.4,kWh
06/01/2024 11:30,75.8,kWh
06/01/2024 12:00,74.6,kWh
06/01/2024 12:30,74.2,kWh
06/01/2024 13:00,74.6,kWh
06/01/2024 13:30,73.4,kWh
06/01/2024 14:00,74,kWh
06/01/2024 14:30,72.2,kWh
06/01/2024 15:00,73.6,kWh
06/01/2024 15:30,73.8,kWh
06/01/2024 16:00,75.4,kWh
06/01/2024 16:30,76.6,kWh
06/01/2024 17:00,76.6,kWh
06/01/2024 17:30,73.4,kWh
06/01/2024 18:00,76.2,kWh
06/01/2024 18:30,75.4,kWh
06/01/2024 19:00,73.6,kWh
06/01/2024 19:30,75.2,kWh
06/01/2024 20:00,74.2,kWh
06/01/2024 20:30,75,kWh
06/01/2024 21:00,75,kWh
06/01/2024 21:30,72.8,kWh
06/01/2024 22:00,74.8,kWh
06/01/2024 22:30,72.8,kWh
06/01/2024 23:00,73.6,kWh
06/01/2024 23:30,73.2,kWh
07/01/2024 00:00,75.4,kWh
07/01/2024 00:30,110.8,kWh
07/01/2024 01:00,102.2,kWh
07/01/2024 01:30,98.8,kWh
07/01/2024 02:00,100,kWh
07/01/2024 02:30,97.6,kWh
07/01/2024 03:00,99.6,kWh
07/01/2024 03:30,96.2,kWh
07/01/2024 04:00,97,kWh
07/01/2024 04:30,96.4,kWh
07/01/2024 05:00,99,kWh
07/01/2024 05:30,99.6,kWh
07/01/2024 06:00,95.8,kWh
07/01/2024 06:30,76.4,kWh
07/01/2024 07:00,77.6,kWh
07/01/2024 07:30,77.2,kWh
07/01/2024 08:00,78.2,kWh
07/01/2024 08:30,76.2,kWh
07/01/2024 09:00,76.4,kWh
07/01/2024 09:30,76.4,kWh
07/01/2024 10:00,76.4,kWh
07/01/2024 10:30,75.8,kWh
07/01/2024 11:00,75.4,kWh
07/01/2024 11:30,76.8,kWh
07/01/2024 12:00,77.4,kWh
07/01/2024 12:30,75,kWh
07/01/2024 13:00,73.6,kWh
07/01/2024 13:30,77.2,kWh
07/01/2024 14:00,76.6,kWh
07/01/2024 14:30,76,kWh
07/01/2024 15:00,72.6,kWh
07/01/2024 15:30,77.2,kWh
07/01/2024 16:00,76.8,kWh
07/01/2024 16:30,76.4,kWh
07/01/2024 17:00,75,kWh
07/01/2024 17:30,78.4,kWh
07/01/2024 18:00,78.2,kWh
07/01/2024 18:30,76.2,kWh
07/01/2024 19:00,76.8,kWh
07/01/2024 19:30,76.8,kWh
07/01/2024 20:00,77.4,kWh
07/01/2024 20:30,77.2,kWh
07/01/2024 21:00,75.2,kWh
07/01/2024 21:30,76,kWh
07/01/2024 22:00,74.2,kWh
07/01/2024 22:30,74.2,kWh
07/01/2024 23:00,74.6,kWh
07/01/2024 23:30,73.8,kWh
